State Name,District,Households_Rural,Population,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
PUNJAB,Hoshiarpur,422673.0,1586625.0,40.0,6.3,6.1488,3.9,1.3663999999999998,128592.0,128592.0,8358.48,73297.44
PUNJAB,Hoshiarpur,422673.0,1586625.0,38.6,6.0,5.867999999999999,15.1,1.1735999999999998,128592.0,128592.0,7844.111999999999,82170.288
PUNJAB,Hoshiarpur,422673.0,1586625.0,33.6,4.8,4.7184,55.9,0.6880999999999999,128592.0,128592.0,6301.008000000001,114318.288
PUNJAB,Shahid Bhagat Singh Nagar,183168.0,612310.0,37.9,5.1,4.8552,5.3,1.9992,48383.0,48383.0,2612.6820000000002,32319.843999999997
PUNJAB,Shahid Bhagat Singh Nagar,183168.0,612310.0,37.3,5.4,5.167800000000001,12.8,1.9140000000000001,48383.0,48383.0,2709.448,34110.015
PUNJAB,Shahid Bhagat Singh Nagar,183168.0,612310.0,35.1,6.3,6.1425,41.5,1.6575,48383.0,48383.0,3144.895,41173.933
PUNJAB,Fatehgarh Sahib,117559.0,600163.0,34.9,5.9,5.2746,6.1,3.9336000000000007,57337.0,57337.0,3669.5680000000007,47303.025
PUNJAB,Fatehgarh Sahib,117559.0,600163.0,34.1,5.4,4.914000000000001,20.1,3.367,57337.0,57337.0,3325.546,49481.831
PUNJAB,Fatehgarh Sahib,117559.0,600163.0,32.7,4.3,4.0463,48.8,2.1643,57337.0,57337.0,2580.165,53839.44300000001
PUNJAB,Ludhiana,395032.0,3498739.0,42.5,6.7,6.3382,7.2,4.635400000000001,641789.0,641789.0,45567.01899999999,561565.375
PUNJAB,Ludhiana,395032.0,3498739.0,40.2,5.5,5.2139999999999995,47.6,3.2232,641789.0,641789.0,37223.761999999995,598789.137
PUNJAB,Ludhiana,395032.0,3498739.0,38.8,4.8,4.5552,73.2,2.2776,641789.0,641789.0,31447.661,621893.541
PUNJAB,Moga,214295.0,995746.0,43.6,7.3,7.0007,10.1,8.439200000000001,74144.0,74144.0,5486.656,63318.976
PUNJAB,Moga,214295.0,995746.0,41.2,7.1,6.837299999999999,21.2,7.4151,74144.0,74144.0,5412.512,64950.14399999999
PUNJAB,Moga,214295.0,995746.0,33.8,6.5,6.3375,56.7,4.3875,74144.0,74144.0,4967.648,70214.368
PUNJAB,Firozpur,348522.0,2029074.0,49.0,10.5,10.142999999999999,4.0,5.409599999999999,153868.0,153868.0,16617.744000000002,102476.08799999999
PUNJAB,Firozpur,348522.0,2029074.0,46.4,9.5,9.1675,19.5,4.7285,153868.0,153868.0,14925.195999999998,112631.37599999999
PUNJAB,Firozpur,348522.0,2029074.0,39.5,6.9,6.6447,60.4,2.7927,153868.0,153868.0,10924.628,139558.27599999998
PUNJAB,Muktsar,149507.0,901896.0,50.9,10.5,10.153500000000001,4.0,3.2878,74650.0,74650.0,7987.55,53971.95
PUNJAB,Muktsar,149507.0,901896.0,47.5,10.1,9.7667,21.4,2.8043,74650.0,74650.0,7614.3,57704.45
PUNJAB,Muktsar,149507.0,901896.0,38.9,8.9,8.6152,64.3,1.6456,74650.0,74650.0,6793.15,67035.7
PUNJAB,Faridkot,99946.0,617508.0,47.1,7.6,7.3416,4.8,4.0572,58917.0,58917.0,4536.609,47192.51699999999
PUNJAB,Faridkot,99946.0,617508.0,44.3,7.7,7.438199999999999,17.4,3.381,58917.0,58917.0,4654.443,49843.78199999999
PUNJAB,Faridkot,99946.0,617508.0,39.0,8.0,7.736000000000001,40.2,2.1274,58917.0,58917.0,4772.276999999999,54674.975999999995
PUNJAB,Bathinda,218159.0,1388525.0,48.0,7.1,6.681099999999999,4.4,4.1404000000000005,137563.0,137563.0,10179.662,115965.609
PUNJAB,Bathinda,218159.0,1388525.0,42.0,6.4,6.0736,22.8,3.6062,137563.0,137563.0,9216.721,120230.062
PUNJAB,Bathinda,218159.0,1388525.0,31.1,5.3,5.103899999999999,55.8,2.6001,137563.0,137563.0,7428.402000000001,128071.15299999999
PUNJAB,Mansa,145603.0,769751.0,44.9,7.1,6.887,3.2,5.335,50786.0,50786.0,3656.592,31944.394
PUNJAB,Mansa,145603.0,769751.0,42.3,6.8,6.589200000000001,9.5,4.845,50786.0,50786.0,3555.02,34382.122
PUNJAB,Mansa,145603.0,769751.0,32.8,5.9,5.6935,32.1,3.088,50786.0,50786.0,2996.3740000000003,43168.1
PUNJAB,Patiala,299279.0,1895686.0,44.4,6.7,6.204199999999999,5.7,6.389399999999999,218090.0,218090.0,15484.39,168583.57
PUNJAB,Patiala,299279.0,1895686.0,38.8,5.6,5.2863999999999995,32.2,4.6256,218090.0,218090.0,12867.31,186685.04
PUNJAB,Patiala,299279.0,1895686.0,30.9,4.2,4.0698,68.7,2.0349,218090.0,218090.0,9159.78,211329.21
PUNJAB,Amritsar,275477.0,2490656.0,53.0,7.7,7.3766,8.6,2.5866000000000002,385476.0,385476.0,30067.127999999997,234369.408
PUNJAB,Amritsar,275477.0,2490656.0,46.2,6.3,6.047999999999999,44.2,2.112,385476.0,385476.0,25055.94,304526.04
PUNJAB,Amritsar,275477.0,2490656.0,40.8,5.3,5.0986,72.6,1.7316,385476.0,385476.0,20815.704,360034.584
PUNJAB,Tarn Taran,222717.0,1119627.0,53.7,7.9,7.6314,7.0,5.5062,44457.0,44457.0,3601.0170000000003,28808.136000000002
